Search query: microbiome
Year,Count
2022,9705
2021,25210
2020,21628
2019,17126
2018,13261
2017,10646
2016,8778
2015,6987
2014,5412
2013,3824
2012,2672
2011,1822
2010,1178
2009,811
2008,611
2007,455
2006,376
2005,260
2004,168
2003,136
2002,120
2001,74
2000,83
1999,58
1998,59
1997,53
1996,35
1995,31
1994,17
1993,18
1992,26
1991,24
1990,25
1989,25
1988,28
1987,14
1986,11
1985,20
1984,10
1983,11
1982,8
1981,9
1980,10
1979,13
1978,11
1977,7
1976,10
1975,4
1974,2
1972,1
1971,3
1970,3
1969,3
1968,2
1967,4
1966,3
1965,2
1964,2
1963,3
1961,2
1958,1
1956,1
